fabric,design,using_part,usage_s_xl,usage_2xl_3xl,usage_s_3xl,k7_key
OPEN WIDTH,A_Shirt_Side_Seam,Whole Garment,0.4572,0.64008,0.5409663353666289,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Body,0.438,0.6132,0.5182485889995263,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Front Body Panel,0.219,0.3066,0.25912429449976315,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Back Body Panel,0.219,0.3066,0.25912429449976315,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Binding Collar,0.0192,0.026879999999999998,0.022717746367102526,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Binding Collar & Armhole,0.0561,0.07853999999999998,0.06637841516637769,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Back Neck Tape,0.0098,0.013719999999999998,0.011595516374875246,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Binding Armhole,0.0369,0.05166,0.04366066879927517,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Insert Side Panel (cut part),0.05,0.06999999999999999,0.059160797830996155,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Binding Bottom Hem,0.037,0.05179999999999999,0.043778990394937156,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Pocket bag,0.0152,0.02128,0.017984882540622832,A_Shirt_Side_Seam
OPEN WIDTH,A_Shirt_Side_Seam,Not specific yet,1.0,1.0,1.0,A_Shirt_Side_Seam
TUBULAR,A_Shirt_No_Seam,Whole Garment,0.9898,1.08878,1.0381109979188161,A_Shirt_No_Seam
TUBULAR,A_Shirt_No_Seam,Body,0.97,1.067,1.017344582725047,A_Shirt_No_Seam
TUBULAR,A_Shirt_No_Seam,Binding Collar,0.0198,0.021780000000000004,0.020766415193769004,A_Shirt_No_Seam
TUBULAR,A_Shirt_No_Seam,Binding Collar & Armhole,0.0538,0.05918,0.056425916031554155,A_Shirt_No_Seam
TUBULAR,A_Shirt_No_Seam,Back Neck Tape,0.0086,0.009460000000000001,0.009019756094263304,A_Shirt_No_Seam
TUBULAR,A_Shirt_No_Seam,Binding Armhole,0.034,0.0374,0.03565950083778516,A_Shirt_No_Seam
TUBULAR,A_Shirt_No_Seam,Insert Side Panel (cut part),0.05,0.05500000000000001,0.052440442408507586,A_Shirt_No_Seam
