silhouette,seam,width_in
Tank Top/A Shirt,No Seam,25.4
T-Shirt (Crew Neck),No Seam,44.0
T-Shirt (V Neck),No Seam,44.0
Long Sleeve Shirt (Crew Neck),No Seam,44.0
Long Sleeve Shirt (V Neck),No Seam,44.0
Sleeveless Shirt (Crew Neck),No Seam,44.0
Sleeveless Shirt (V Neck),No Seam,44.0
Tank Top/A Shirt,Side Seam,60.0
T-Shirt (Crew Neck),Side Seam,60.0
T-Shirt (V Neck),Side Seam,60.0
Long Sleeve Shirt (Crew Neck),Side Seam,60.0
Long Sleeve Shirt (V Neck),Side Seam,60.0
Sleeveless Shirt (Crew Neck),Side Seam,60.0
Sleeveless Shirt (V Neck),Side Seam,60.0
