trims_type,garment_part,usage_small,usage_large
Neck_Tape,Collar Back Neck,0.3,0.345
Neck_Tape,Collar Back Neck & Shoulder,0.57,0.6554999999999999
Neck_Tape,Not Specific area yet,1.0,1.0
Binding_Tape,Collar (All) excepted A shirt,0.6,0.69
Binding_Tape,Collar (A Shirt),0.75,0.8624999999999999
Binding_Tape,Collar & Armhole (A shirt),2.2,2.53
Binding_Tape,Collar & Sleeve opening (T shirt),1.5,1.7249999999999999
Binding_Tape,Collar & Sleeve opening (LS shirt),1.2999999999999998,1.4949999999999997
Binding_Tape,Collar & Armhole (Sleeveless T),1.9,2.1849999999999996
Binding_Tape,Arm opening (A shirt),1.6,1.8399999999999999
Binding_Tape,sleeve opening (T shirt),0.9,1.035
Binding_Tape,sleeve opening (LS shirt),0.7,0.8049999999999999
Binding_Tape,sleeve opening (Sleeveless T),1.3,1.4949999999999999
Binding_Tape,Not Specific area yet,1.0,1.0
Mobilon_Tape,Collar (All) excepted A shirt,0.6,0.69
Mobilon_Tape,Collar (A Shirt),0.75,0.8624999999999999
Mobilon_Tape,Collar & Armhole (A shirt),2.2,2.53
Mobilon_Tape,Collar & Sleeve opening (T shirt),1.5,1.7249999999999999
Mobilon_Tape,Collar & Sleeve opening (LS shirt),1.2999999999999998,1.4949999999999997
Mobilon_Tape,Collar & Armhole (Sleeveless T),1.9,2.1849999999999996
Mobilon_Tape,Arm opening (A shirt),1.6,1.8399999999999999
Mobilon_Tape,Sleeve opening (T shirt),0.9,1.035
Mobilon_Tape,Sleeve opening (LS shirt),0.7,0.8049999999999999
Mobilon_Tape,Sleeve opening (Sleeveless T),1.3,1.4949999999999999
Mobilon_Tape,Shoulders,0.34,0.391
Mobilon_Tape,Shoulders (A Shirt),0.16,0.184
Mobilon_Tape,Not Specific area yet,1.0,1.0
Pip_label,Side panel left Bottom hem,1.0,1.0
Pip_label,Not Specific area yet,1.0,1.0
Woven_Care_Label,Left Buttom hem,1.0,1.0
Woven_Care_Label,Not Specific area yet,1.0,1.0
Deodorant_Tape,Collar (All) excepted A shirt,0.6,0.69
Deodorant_Tape,Collar (A Shirt),0.75,0.8624999999999999
Deodorant_Tape,Collar & Armhole (A shirt),2.2,2.53
Deodorant_Tape,Collar & Sleeve opening (T shirt),1.5,1.7249999999999999
Deodorant_Tape,Collar & Sleeve opening (LS shirt),1.2999999999999998,1.4949999999999997
Deodorant_Tape,Collar & Armhole (Sleeveless T),1.9,2.1849999999999996
Deodorant_Tape,Arm opening (A shirt),1.6,1.8399999999999999
Deodorant_Tape,Sleeve opening (T shirt),0.9,1.035
Deodorant_Tape,Sleeve opening (LS shirt),0.7,0.8049999999999999
Deodorant_Tape,Sleeve opening (Sleeveless T),1.3,1.4949999999999999
Deodorant_Tape,Shoulders,0.34,0.391
Deodorant_Tape,Shoulders (A Shirt),0.16,0.184
Deodorant_Tape,Not Specific area yet,1.0,1.0
