silhouette,seam,k7_key
Tank Top/A Shirt,No Seam,A_Shirt_No_Seam
T-Shirt (Crew Neck),No Seam,T_Shirt_No_Seam
T-Shirt (V Neck),No Seam,T_Shirt_No_Seam
Long Sleeve Shirt (Crew Neck),No Seam,Long_Sleeve_Shirt_No_Seam
Long Sleeve Shirt (V Neck),No Seam,Long_Sleeve_Shirt_No_Seam
Sleeveless Shirt (Crew Neck),No Seam,Sleeveless_Shirt_No_Seam
Sleeveless Shirt (V Neck),No Seam,Sleeveless_Shirt_No_Seam
Tank Top/A Shirt,Side Seam,A_Shirt_Side_Seam
T-Shirt (Crew Neck),Side Seam,T_Shirt_Side_Seam
T-Shirt (V Neck),Side Seam,T_Shirt_Side_Seam
Long Sleeve Shirt (Crew Neck),Side Seam,Long_Sleeve_Shirt_Side_Seam
Long Sleeve Shirt (V Neck),Side Seam,Long_Sleeve_Shirt_Side_Seam
Sleeveless Shirt (Crew Neck),Side Seam,Sleeveless_Shirt_Side_Seam
Sleeveless Shirt (V Neck),Side Seam,Sleeveless_Shirt_Side_Seam
