product,seam,size,product_efficiency
Tank top/A Shirt,No seam,S-XL,1
Tank top/A Shirt,No seam,S-3XL,1
Tank top/A Shirt,No seam,2XL-3XL,1
Tank top/A Shirt,Side Seam,S-XL,1
Tank top/A Shirt,Side Seam,S-3XL,1
Tank top/A Shirt,Side Seam,2XL-3XL,1
Tank top/A Shirt,No seam,S-XL,1
Tank top/A Shirt,No seam,S-3XL,1
Tank top/A Shirt,No seam,2XL-3XL,1
Tank top/A Shirt,Side Seam,S-XL,1
Tank top/A Shirt,Side Seam,S-3XL,1
Tank top/A Shirt,Side Seam,2XL-3XL,1
Tank top/A Shirt,No seam,S-XL,1
Tank top/A Shirt,No seam,S-3XL,1
Tank top/A Shirt,No seam,2XL-3XL,1
Tank top/A Shirt,Side Seam,S-XL,1
Tank top/A Shirt,Side Seam,S-3XL,1
Tank top/A Shirt,Side Seam,2XL-3XL,1
T-Shirt (Crew Neck),No seam,S-XL,0.95
T-Shirt (Crew Neck),No seam,S-3XL,0.95
T-Shirt (Crew Neck),No seam,2XL-3XL,0.95
T-Shirt (Crew Neck),Side Seam,S-XL,0.95
T-Shirt (Crew Neck),Side Seam,S-3XL,0.95
T-Shirt (Crew Neck),Side Seam,2XL-3XL,0.95
T-Shirt (Crew Neck),No seam,S-XL,0.95
T-Shirt (Crew Neck),No seam,S-3XL,0.95
T-Shirt (Crew Neck),No seam,2XL-3XL,0.95
T-Shirt (Crew Neck),Side Seam,S-XL,0.95
T-Shirt (Crew Neck),Side Seam,S-3XL,0.95
T-Shirt (Crew Neck),Side Seam,2XL-3XL,0.95
T-Shirt (Crew Neck),No seam,S-XL,0.95
T-Shirt (Crew Neck),No seam,S-3XL,0.95
T-Shirt (Crew Neck),No seam,2XL-3XL,0.95
T-Shirt (Crew Neck),Side Seam,S-XL,0.95
T-Shirt (Crew Neck),Side Seam,S-3XL,0.95
T-Shirt (Crew Neck),Side Seam,2XL-3XL,0.95
T-Shirt (V Neck),No seam,S-XL,0.95
T-Shirt (V Neck),No seam,S-3XL,0.95
T-Shirt (V Neck),No seam,2XL-3XL,0.95
T-Shirt (V Neck),Side Seam,S-XL,0.95
T-Shirt (V Neck),Side Seam,S-3XL,0.95
T-Shirt (V Neck),Side Seam,2XL-3XL,0.95
T-Shirt (V Neck),No seam,S-XL,0.95
T-Shirt (V Neck),No seam,S-3XL,0.95
T-Shirt (V Neck),No seam,2XL-3XL,0.95
T-Shirt (V Neck),Side Seam,S-XL,0.95
T-Shirt (V Neck),Side Seam,S-3XL,0.95
T-Shirt (V Neck),Side Seam,2XL-3XL,0.95
T-Shirt (V Neck),No seam,S-XL,0.95
T-Shirt (V Neck),No seam,S-3XL,0.95
T-Shirt (V Neck),No seam,2XL-3XL,0.95
T-Shirt (V Neck),Side Seam,S-XL,0.95
T-Shirt (V Neck),Side Seam,S-3XL,0.95
T-Shirt (V Neck),Side Seam,2XL-3XL,0.95
Long Sleeve Shirt (Crew Neck),No seam,S-XL,0.9
Long Sleeve Shirt (Crew Neck),No seam,S-3XL,0.9
Long Sleeve Shirt (Crew Neck),No seam,2XL-3XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,S-XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,S-3XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,2XL-3XL,0.9
Long Sleeve Shirt (Crew Neck),No seam,S-XL,0.9
Long Sleeve Shirt (Crew Neck),No seam,S-3XL,0.9
Long Sleeve Shirt (Crew Neck),No seam,2XL-3XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,S-XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,S-3XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,2XL-3XL,0.9
Long Sleeve Shirt (Crew Neck),No seam,S-XL,0.9
Long Sleeve Shirt (Crew Neck),No seam,S-3XL,0.9
Long Sleeve Shirt (Crew Neck),No seam,2XL-3XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,S-XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,S-3XL,0.9
Long Sleeve Shirt (Crew Neck),Side Seam,2XL-3XL,0.9
Long Sleeve Shirt (V Neck),No seam,S-XL,0.9
Long Sleeve Shirt (V Neck),No seam,S-3XL,0.9
Long Sleeve Shirt (V Neck),No seam,2XL-3XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,S-XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,S-3XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,2XL-3XL,0.9
Long Sleeve Shirt (V Neck),No seam,S-XL,0.9
Long Sleeve Shirt (V Neck),No seam,S-3XL,0.9
Long Sleeve Shirt (V Neck),No seam,2XL-3XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,S-XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,S-3XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,2XL-3XL,0.9
Long Sleeve Shirt (V Neck),No seam,S-XL,0.9
Long Sleeve Shirt (V Neck),No seam,S-3XL,0.9
Long Sleeve Shirt (V Neck),No seam,2XL-3XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,S-XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,S-3XL,0.9
Long Sleeve Shirt (V Neck),Side Seam,2XL-3XL,0.9
Sleeveless Shirt (Crew Neck),No seam,S-XL,0.95
Sleeveless Shirt (Crew Neck),No seam,S-3XL,0.95
Sleeveless Shirt (Crew Neck),No seam,2XL-3XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,S-XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,S-3XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,2XL-3XL,0.95
Sleeveless Shirt (Crew Neck),No seam,S-XL,0.95
Sleeveless Shirt (Crew Neck),No seam,S-3XL,0.95
Sleeveless Shirt (Crew Neck),No seam,2XL-3XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,S-XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,S-3XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,2XL-3XL,0.95
Sleeveless Shirt (Crew Neck),No seam,S-XL,0.95
Sleeveless Shirt (Crew Neck),No seam,S-3XL,0.95
Sleeveless Shirt (Crew Neck),No seam,2XL-3XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,S-XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,S-3XL,0.95
Sleeveless Shirt (Crew Neck),Side Seam,2XL-3XL,0.95
Sleeveless Shirt (V Neck),No seam,S-XL,0.95
Sleeveless Shirt (V Neck),No seam,S-3XL,0.95
Sleeveless Shirt (V Neck),No seam,2XL-3XL,0.95
Sleeveless Shirt (V Neck),Side Seam,S-XL,0.95
Sleeveless Shirt (V Neck),Side Seam,S-3XL,0.95
Sleeveless Shirt (V Neck),Side Seam,2XL-3XL,0.95
Sleeveless Shirt (V Neck),No seam,S-XL,0.95
Sleeveless Shirt (V Neck),No seam,S-3XL,0.95
Sleeveless Shirt (V Neck),No seam,2XL-3XL,0.95
Sleeveless Shirt (V Neck),Side Seam,S-XL,0.95
Sleeveless Shirt (V Neck),Side Seam,S-3XL,0.95
