gender,product_shape,side_seam,size,sam,eff_pct
Men,Tank top/A Shirt,No seam,S-XL,2.05,1.0
Men,Tank top/A Shirt,No seam,S-3XL,2.15,1.0
Men,Tank top/A Shirt,No seam,2.0,3.15,1.0
Men,Tank top/A Shirt,Side Seam,S-XL,2.3,1.0
Men,Tank top/A Shirt,Side Seam,S-3XL,2.461,1.0
Men,Tank top/A Shirt,Side Seam,2.0,2.63327,1.0
Women,Tank top/A Shirt,No seam,S-XL,1.95,1.0
Women,Tank top/A Shirt,No seam,S-3XL,2.0,1.0
Women,Tank top/A Shirt,No seam,2.0,2.06082,1.0
Women,Tank top/A Shirt,Side Seam,S-XL,2.4,1.0
Women,Tank top/A Shirt,Side Seam,S-3XL,2.568,1.0
Women,Tank top/A Shirt,Side Seam,2.0,2.7477600000000004,1.0
Kids,Tank top/A Shirt,No seam,S-XL,1.9,1.0
Kids,Tank top/A Shirt,No seam,S-3XL,2.0,1.0
Kids,Tank top/A Shirt,No seam,2.0,2.06082,1.0
Kids,Tank top/A Shirt,Side Seam,S-XL,2.3,1.0
Kids,Tank top/A Shirt,Side Seam,S-3XL,2.461,1.0
Kids,Tank top/A Shirt,Side Seam,2.0,2.63327,1.0
Men,T-Shirt (Crew Neck),No seam,S-XL,2.9,0.95
Men,T-Shirt (Crew Neck),No seam,S-3XL,3.103,0.95
Men,T-Shirt (Crew Neck),No seam,2.0,3.3202100000000003,0.95
Men,T-Shirt (Crew Neck),Side Seam,S-XL,3.7,0.95
Men,T-Shirt (Crew Neck),Side Seam,S-3XL,3.9590000000000005,0.95
Men,T-Shirt (Crew Neck),Side Seam,2.0,4.236130000000001,0.95
Women,T-Shirt (Crew Neck),No seam,S-XL,2.8,0.95
Women,T-Shirt (Crew Neck),No seam,S-3XL,2.996,0.95
Women,T-Shirt (Crew Neck),No seam,2.0,3.2057200000000003,0.95
Women,T-Shirt (Crew Neck),Side Seam,S-XL,3.5,0.95
Women,T-Shirt (Crew Neck),Side Seam,S-3XL,3.745,0.95
Women,T-Shirt (Crew Neck),Side Seam,2.0,4.00715,0.95
Kids,T-Shirt (Crew Neck),No seam,S-XL,2.6,0.95
